"","time","lat","long","site.name","Fagus","Alnus","Picea","Quercus","legendvalues"
"59",-20000,48.34053,20.430665,"Nagy-Mohos",0,0,0,1.2396694214876,50
"60",-20000,48.444444,-0.191667,"Le Fourneau",0,19.047619047619,0,8.09523809523809,100
"61",-20000,48.775602,13.865165,"Plešné jezero",0,0.555555555555556,0.37037037037037,0,10
"62",-20000,49.787222,12.4625,"Brentenlohe",0,0,0,0,50
"63",-20000,50.7624,15.552305,"Labský důl",0,0,1.02389078498294,0,100
"64",-20000,57.183333,39.451389,"Lake Nero",0,4.97335701598579,6.57193605683837,0,10
"65",-19500,35.533333,46.116667,"Lake Zeribar",0,0,0,0,50
"66",-19500,36.143333,-2.621111,"MD95-2043",0,0.320621468926554,0,1.10310734463277,100
"67",-19500,36.81825,8.77474,"Dar Fatma",0,3.82059800664452,0,1.32890365448505,10
"68",-19500,36.9975,29.898333,"Sögüt Gölü",0,0,0,11.0711071107111,50
"69",-19500,37.793611,45.375833,"Lake Urmia II",0.14760147601476,0,0,0.516605166051661,100
"70",-19500,38.425,30.8,"Kararmik Batakligi",0,0,0.282752120640905,1.60226201696513,10
"71",-19500,39.0585,22.24997,"Lake Xinias",0.0457456541628545,0.411710887465691,0,2.65324794144556,50
"72",-19500,39.7625,20.730556,"Ioannina I",0.784313725490196,0.549019607843137,0,13.9607843137255,100
"73",-19500,40.578333,-10.348333,"MD95-2039",0,0,0.271739130434783,0,10
"74",-19500,40.931235,15.605185,"Lago Grande di Monticchio",0.260480779944679,0.0871891869206496,0.0200534759358289,4.11840888196309,50
"75",-19500,42.133333,2.75,"Banyoles",0,0,0,0,100
"76",-19500,42.692778,3.841667,"MD99-2348 (103)",0.23318306373199,0.990365066737382,1.81330490297418,2.4891617581696,10
"77",-19500,43.041685,-6.13878,"Lago de Ajo",0,0,0,0,50
"78",-19500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,0,0,0,100
"79",-19500,45.05339,7.391,"Lago Piccolo di Avigliana",0,1.19521912350598,0,1.19521912350598,10
"80",-19500,46.05152,8.94329,"Lago di Origlio",0,1.55038759689922,2.32558139534884,0,50
"81",-19500,46.347222,7.021667,"Leysin Les Léchières",0,0,0,0,100
"82",-19500,46.445,8.518333,"Alpi di Robièi Val Bavona",0,3.46534653465347,0,0,10
"83",-19500,48.34053,20.430665,"Nagy-Mohos",0,0,0,5.12163892445583,50
"84",-19500,48.444444,-0.191667,"Le Fourneau",0,4.87012987012987,0.324675324675325,0.649350649350649,100
