"","time","lat","long","site.name","Nothofagus","Phyllocladus","Casuarina","Eucalyptus","legendvalues"
"53",-13000,-43.347695,146.837845,"Adamsons Peak",1.46082337317397,0.464807436918991,0.464807436918991,2.77556440903054,50
"54",-13000,-42.10391,146.18492,"Lake St Clair",0.51413881748072,0.50761421319797,0.12853470437018,2.55112027455535,100
"55",-13000,-41.451255,145.961595,"Paddy's Lake",7.97125206413615,8.77312079459427,0,8.86386451239355,10
"56",-13000,-37.107945,149.137815,"Jacksons Bog",0,0,0.641025641025641,1.6025641025641,50
"57",-13000,-35.089675,149.429255,"Lake George",0,0,0,0,100
"58",-13000,-4.02063,137.216945,"Ijomba",43.397323239151,3.05153741006114,0.434560557583405,0,10
"59",-12500,-43.347695,146.837845,"Adamsons Peak",0.604645120905742,0.632228716239725,0.254159816300032,2.09819604291737,50
"60",-12500,-42.10391,146.18492,"Lake St Clair",0.575263662511985,0.191754554170662,0.479386385426654,1.82166826462128,100
"61",-12500,-41.451255,145.961595,"Paddy's Lake",7.57108922691084,11.3744829569269,0,10.2183648978985,10
"62",-12500,-37.107945,149.137815,"Jacksons Bog",0,0,0.679597661717485,5.0583884512995,50
"63",-12500,-36.416667,148.316667,"Blue Lake",0,0,0.602409638554217,3.52839931153184,100
"64",-12500,-17.36586,145.686125,"Lynch's Crater A",0,0,6.38606676342525,13.3526850507983,10
"65",-12500,-5.82037,145.08903,"Komanimambuno Mire",25.8373205741627,0,0,0,50
"66",-12500,-4.02063,137.216945,"Ijomba",35.4430379746835,5.78661844484629,0.361663652802893,0,100
"67",-12000,-43.347695,146.837845,"Adamsons Peak",1.15006699419384,1.48503796337651,0.413130861991961,2.63510495757034,10
"68",-12000,-42.679935,146.5912,"Eagle Tarn",2.28456375900551,0.958504406590392,4.12682546089061,6.69839297254525,50
"69",-12000,-42.10391,146.18492,"Lake St Clair",1.06060606060606,0.303030303030303,1.51515151515152,3.83838383838384,100
"70",-12000,-41.451255,145.961595,"Paddy's Lake",11.616074447724,9.92047279194245,0,12.2194807446633,10
"71",-12000,-37.107945,149.137815,"Jacksons Bog",0,0,0.408997955010225,5.31697341513292,50
"72",-12000,-36.516667,149.5,"Bega Swamp",0,0,1.44737015997948,4.15841608571073,100
"73",-12000,-36.416667,148.316667,"Blue Lake",0,0,0.669412976313079,3.65602471678682,10
"74",-12000,-35.089675,149.429255,"Lake George",0,0,0,0.0329815303430079,50
"75",-12000,-5.82037,145.08903,"Komanimambuno Mire",31,0,0,0,100
"76",-12000,-4.02063,137.216945,"Ijomba",32.4831895458006,5.16620147170769,0.712858411570667,0,10
"77",-11500,-43.347695,146.837845,"Adamsons Peak",1.9723038187159,1.59462861938733,1.00713386487621,5.45530843474612,50
"78",-11500,-42.679935,146.5912,"Eagle Tarn",2.92209866919944,14.7987559256789,4.60209875260516,14.7654431357048,100
"79",-11500,-42.10391,146.18492,"Lake St Clair",1.8681888946549,0.207576543850545,0.103788271925272,1.97197716658018,10
"80",-11500,-41.660375,145.961695,"Dove Lake",12.1008049217037,1.34589393911269,0.732631536968422,4.64798340062822,50
"81",-11500,-41.451255,145.961595,"Paddy's Lake",12.7685613124213,10.2743415376889,0,13.7982849846769,100
"82",-11500,-37.107945,149.137815,"Jacksons Bog",0,0,0.683371298405467,9.33940774487472,10
"83",-11500,-36.516667,149.5,"Bega Swamp",0,0,1.95348883585309,3.96471767517638,50
"84",-11500,-36.416667,148.316667,"Blue Lake",0,0,2.56410256410256,10,100
"85",-11500,-4.02063,137.216945,"Ijomba",42.4686192468619,6.48535564853557,1.04602510460251,0,10
"86",-11000,-43.347695,146.837845,"Adamsons Peak",2.77269160345279,2.27569971226785,0.366204551399425,3.92362019356526,50
"87",-11000,-42.679935,146.5912,"Eagle Tarn",6.14289891227022,21.3709254044425,1.550723888065,16.0139340959052,100
"88",-11000,-42.10391,146.18492,"Lake St Clair",8.28343883681904,0.373735869709567,0,6.44538433987549,10
"89",-11000,-41.660375,145.961695,"Dove Lake",15.8550550275085,1.08450457137774,0.604918196796087,4.76285498919449,50
"90",-11000,-41.451255,145.961595,"Paddy's Lake",15.2757833723899,10.784756254988,0,11.0104062891492,100
"91",-11000,-37.107945,149.137815,"Jacksons Bog",0,0,0.471698113207547,10.8490566037736,10
"92",-11000,-36.516667,149.5,"Bega Swamp",0,0,2.87203430575738,8.89563263709313,50
"93",-11000,-36.416667,148.316667,"Blue Lake",0,0,1.05448154657293,5.33099004100761,100
