"","time","lat","long","site.name","fagus","alnus","picea","quercus"
"63",-19500,39.0585,22.24997,"Lake Xinias",0.0457456541628545,0.411710887465691,0,2.65324794144556
"64",-19500,39.7625,20.730556,"Ioannina I",0.6765899864682,0.47361299052774,0,12.043301759134
"65",-19500,40.931235,15.605185,"Lago Grande di Monticchio",0.260480779944679,0.0871891869206496,0.0200534759358289,4.11840888196309
"66",-19500,42.133333,2.75,"Banyoles",0,0,0,0
"67",-19500,42.692778,3.841667,"MD99-2348 (103)",0.23318306373199,0.990365066737382,1.81330490297418,2.4891617581696
"68",-19500,43.041685,-6.13878,"Lago de Ajo",0,0,0,0
"69",-19500,44.791667,6.55,"Lac de Siguret",0,0,0,0.138121546961326
"70",-19500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,0,0,2.61627906976744
"71",-19500,45.05339,7.391,"Lago Piccolo di Avigliana",0,1.19521912350598,0,1.19521912350598
"72",-19500,46.347222,7.021667,"Leysin Les Léchières",0,0,0,0
"73",-19500,46.445,8.518333,"Alpi di Robièi Val Bavona",0,3.46534653465347,0,0
"74",-19500,48.34053,20.430665,"Nagy-Mohos",0,0,0,5.12163892445583
"75",-19500,48.444444,-0.191667,"Le Fourneau",0,4.87012987012987,0.324675324675325,0.649350649350649
"76",-19500,48.775602,13.865165,"Plešné jezero",0,0.0576036866359447,0.167785234899329,0
"77",-19500,56.75,38.5,"Plesheevo Lake",0,11.7283950617284,3.08641975308642,0
"78",-19500,57.183333,39.451389,"Lake Nero",0,2.37388724035608,3.26409495548961,0
"79",-19500,62.331455,10.398245,"Lake Flåfattjønna",0,4.52261306532663,0.251256281407035,0
"80",-19000,35.533333,46.116667,"Lake Zeribar",0,0,0,0.266246318114875
"81",-19000,35.683333,36.3,"Ghab",0,0,0,25.5623721881391
"82",-19000,37.05,29.883333,"Sögüt Gölü",0,0,0,11.7518248175182
"83",-19000,38.425,30.8,"Kararmik Batakligi",0,0.0651041666666667,0.0651041666666667,1.10677083333333
"84",-19000,38.483333,23.066667,"Kopais",0,0.515463917525773,0,7.21649484536082
"85",-19000,39.7625,20.730556,"Ioannina I",0,0.242522231204527,0,4.04203718674212
"86",-19000,40.931235,15.605185,"Lago Grande di Monticchio",1.25905797101449,0.36911231884058,0,64.1383605072464
"87",-19000,41.983333,24.333333,"Kupena",0,0,0,0
"88",-19000,42.133333,2.75,"Banyoles",0,0,0,0.869565217391304
"89",-19000,42.63045,26.780139,"Straldzha mire",0,0,0,0.191433357262503
"90",-19000,42.692778,3.841667,"MD99-2348 (103)",0.243192554027658,0.934391871163446,3.67214271446989,2.6033788507877
"91",-19000,42.987535,10.89235,"Lago dell'Accesa",0,0.0947867298578199,0,0
"92",-19000,44.791667,6.55,"Lac de Siguret",0,0,0,0.303951367781155
"93",-19000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,0.0511247443762781,0.122549019607843,0
"94",-19000,45.05339,7.391,"Lago Piccolo di Avigliana",0,0,0,1.78571428571429
"95",-19000,46.633333,7.3925,"Chutti Boltigen",0,0,0,0
"96",-19000,47.075556,8.325556,"Rotsee",0,3.24074074074074,3.24074074074074,0
"97",-19000,48.34053,20.430665,"Nagy-Mohos",0,0.112930547713156,0,0.564652738565782
"98",-19000,48.444444,-0.191667,"Le Fourneau",0.307307401812689,12.4070052870091,0,10.541918429003
"99",-19000,48.775602,13.865165,"Plešné jezero",0,0,0,0
"100",-19000,57.183333,39.451389,"Lake Nero",0,3.2719836400818,4.08997955010225,0.613496932515337
"101",-19000,62.331455,10.398245,"Lake Flåfattjønna",0,5.09218612818262,0,0.351185250219491
"102",-18500,35.533333,46.116667,"Lake Zeribar",0,0,0,0.487431745434005
"103",-18500,36.143333,-2.621111,"MD95-2043",0,0,0,0.636942675159236
"104",-18500,37.05,29.883333,"Sögüt Gölü",0,0,0,16.6857142857143
"105",-18500,38.425,30.8,"Kararmik Batakligi",0,0.0510464522715671,0,3.52220520673813
"106",-18500,39.0585,22.24997,"Lake Xinias",0,0.0675523530736321,0,0.247691961269984
"107",-18500,39.65,20.916667,"Ioannina",0.45045045045045,0,0,14.8648648648649
"108",-18500,40.616667,21.583333,"Khimaditis Ib",0,0.308641975308642,0,2.77777777777778
"109",-18500,40.931235,15.605185,"Lago Grande di Monticchio",2.82258064516129,0,0,68.1451612903226
"110",-18500,41.965045,-2.81179,"Laguna Mesagosa",0,0,0,0
"111",-18500,42.133333,2.75,"Banyoles",0,0,0,0.0784313725490196
"112",-18500,42.63045,26.780139,"Straldzha mire",0,0,0.149925037481259,1.19940029985008
"113",-18500,42.692778,3.841667,"MD99-2348 (103)",0.356274634951459,0.416358453266197,3.91583719411172,3.1051661481603
"114",-18500,42.987535,10.89235,"Lago dell'Accesa",0.11296563020701,0.122850122850123,0.0360750360750361,1.95571747295885
"115",-18500,43.041685,-6.13878,"Lago de Ajo",0,0,0,0
"116",-18500,44.233333,7.133333,"Laghi dell'Orgials",0,0,0,0
"117",-18500,44.791667,6.55,"Lac de Siguret",0,0,0,0.552486187845304
"118",-18500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0.0483091787439614,0.036563071297989,0.0848722500419504,0.138085913937583
"119",-18500,45.05339,7.391,"Lago Piccolo di Avigliana",0,0,0,0
"120",-18500,45.0708333333333,5.25666666666667,"Saint Hilaire du Rosier",0,0,0,0
"121",-18500,46.283056,7.844167,"Mittlere Hellelen",0,0,0,0
"122",-18500,46.347222,7.021667,"Leysin Les Léchières",0,0,0,0
"123",-18500,46.633333,7.3925,"Chutti Boltigen",0,0,0,0
"124",-18500,48.34053,20.430665,"Nagy-Mohos",0,0.558659217877095,0.139664804469274,2.37430167597765
"125",-18500,48.444444,-0.191667,"Le Fourneau",0,9.63455149501661,0,2.6578073089701
"126",-18500,48.775602,13.865165,"Plešné jezero",0,0.167794095126446,0.188718850498234,0
"127",-18500,49.787222,12.4625,"Brentenlohe",0,0.218102508178844,0.054525627044711,0.054525627044711
"128",-18500,50.7624,15.552305,"Labský důl",0,0.33953411473131,0.208110615647864,0
"129",-18500,56.75,38.5,"Plesheevo Lake",0,4.13793103448276,2.41379310344828,0
"130",-18500,62.331455,10.398245,"Lake Flåfattjønna",0,4.92307692307692,0.153846153846154,0.307692307692308
"131",-18000,35.533333,46.116667,"Lake Zeribar",0.1194743130227,0,0,0.240247259882603
"132",-18000,36.143333,-2.621111,"MD95-2043",0,0,0,0.157418339236521
"133",-18000,36.81825,8.77474,"Dar Fatma",0,1.54867256637168,0,1.76991150442478
"134",-18000,37.05,29.883333,"Sögüt Gölü",0,0,0,23.1729055258467
"135",-18000,38.425,30.8,"Kararmik Batakligi",0,0.341491178144565,0,3.24416619237336
"136",-18000,38.483333,23.066667,"Kopais",0,0,0,2.39520958083832
"137",-18000,39.0585,22.24997,"Lake Xinias",0,0.0592768227622999,0,0.652045050385299
"138",-18000,39.7625,20.730556,"Ioannina I",0,0.421940928270042,0,7.80590717299578
"139",-18000,40.931235,15.605185,"Lago Grande di Monticchio",0.696864111498258,0.348432055749129,0,56.794425087108
"140",-18000,41.965045,-2.81179,"Laguna Mesagosa",0,0,0,0
"141",-18000,42.133333,2.75,"Banyoles",0,0,0,0
"142",-18000,42.692778,3.841667,"MD99-2348 (103)",0.312469877048697,0.778680021659686,3.24386953052341,3.97911534361249
"143",-18000,42.987535,10.89235,"Lago dell'Accesa",0,0,0.0428449014567267,0
