"","time","lat","long","datasetid","samples","taxa","variablename"
"71",-500,-5.78747,145.04318,14921,0.874611529034316,"CeleryPine","Phyllocladus"
"72",0,-5.78747,145.04318,14921,8.26804200491547,"SheOak","Casuarina"
"73",0,-5.78747,145.04318,14921,6.38675802487525,"SouthernBeech","Nothofagus"
"74",0,-5.78747,145.04318,14921,1.37931034482759,"CeleryPine","Phyllocladus"
"75",-17000,-4.021156,137.216632,14941,0.721219346049046,"SheOak","Casuarina"
"76",-17000,-4.021156,137.216632,14941,49.7079359673025,"SouthernBeech","Nothofagus"
"77",-17000,-4.021156,137.216632,14941,5.76152361489555,"CeleryPine","Phyllocladus"
"78",-16500,-4.021156,137.216632,14941,1.02040816326531,"SheOak","Casuarina"
"79",-16500,-4.021156,137.216632,14941,41.4285714285714,"SouthernBeech","Nothofagus"
"80",-16500,-4.021156,137.216632,14941,4.28571428571429,"CeleryPine","Phyllocladus"
"81",-16000,-4.021156,137.216632,14941,0.647948164146868,"SheOak","Casuarina"
"82",-16000,-4.021156,137.216632,14941,51.8358531317495,"SouthernBeech","Nothofagus"
"83",-16000,-4.021156,137.216632,14941,5.39956803455724,"CeleryPine","Phyllocladus"
"84",-15500,-4.021156,137.216632,14941,0.401606425702811,"SheOak","Casuarina"
"85",-15500,-4.021156,137.216632,14941,52.4096385542169,"SouthernBeech","Nothofagus"
"86",-15500,-4.021156,137.216632,14941,2.00803212851406,"CeleryPine","Phyllocladus"
"87",-15000,-4.021156,137.216632,14941,0.433839479392625,"SheOak","Casuarina"
"88",-15000,-4.021156,137.216632,14941,42.5162689804772,"SouthernBeech","Nothofagus"
"89",-15000,-4.021156,137.216632,14941,6.941431670282,"CeleryPine","Phyllocladus"
"90",-14500,-4.021156,137.216632,14941,0.607287449392713,"SheOak","Casuarina"
"91",-14500,-4.021156,137.216632,14941,45.1417004048583,"SouthernBeech","Nothofagus"
"92",-14500,-4.021156,137.216632,14941,5.26315789473684,"CeleryPine","Phyllocladus"
"93",-14000,-4.021156,137.216632,14941,1.44092219020173,"SheOak","Casuarina"
"94",-14000,-4.021156,137.216632,14941,40.9221902017291,"SouthernBeech","Nothofagus"
"95",-14000,-4.021156,137.216632,14941,9.22190201729107,"CeleryPine","Phyllocladus"
"96",-13500,-4.021156,137.216632,14941,1.20192307692308,"SheOak","Casuarina"
"97",-13500,-4.021156,137.216632,14941,48.7980769230769,"SouthernBeech","Nothofagus"
"98",-13500,-4.021156,137.216632,14941,7.45192307692308,"CeleryPine","Phyllocladus"
"99",-13000,-4.021156,137.216632,14941,0.884955752212389,"SheOak","Casuarina"
"100",-13000,-4.021156,137.216632,14941,41.5929203539823,"SouthernBeech","Nothofagus"
"101",-13000,-4.021156,137.216632,14941,11.7994100294985,"CeleryPine","Phyllocladus"
"102",-12500,-4.021156,137.216632,14941,0.677200902934537,"SheOak","Casuarina"
"103",-12500,-4.021156,137.216632,14941,42.8893905191874,"SouthernBeech","Nothofagus"
"104",-12500,-4.021156,137.216632,14941,15.3498871331828,"CeleryPine","Phyllocladus"
"105",-12000,-4.021156,137.216632,14941,1.1142061281337,"SheOak","Casuarina"
"106",-12000,-4.021156,137.216632,14941,38.7186629526462,"SouthernBeech","Nothofagus"
"107",-12000,-4.021156,137.216632,14941,19.2200557103064,"CeleryPine","Phyllocladus"
"108",-11500,-4.021156,137.216632,14941,32.4858757062147,"SouthernBeech","Nothofagus"
"109",-11500,-4.021156,137.216632,14941,9.03954802259887,"CeleryPine","Phyllocladus"
"110",-10500,-4.021156,137.216632,14941,35.8157533799229,"SouthernBeech","Nothofagus"
"111",-10500,-4.021156,137.216632,14941,6.69873200406804,"CeleryPine","Phyllocladus"
"112",-7000,-4.021156,137.216632,14941,0.16750418760469,"SheOak","Casuarina"
"113",-7000,-4.021156,137.216632,14941,25.1256281407035,"SouthernBeech","Nothofagus"
"114",-7000,-4.021156,137.216632,14941,3.01507537688442,"CeleryPine","Phyllocladus"
